"Index" "yahoo" "microsoft" "citigroup" "dow_chemical"
2015-06-02 43.150002 45.063974 53.968275 49.504514
2015-06-03 43.209999 44.996743 54.865774 49.843004
2015-06-04 42.880001 44.526128 54.569896 49.880615
2015-06-05 42.810001 44.314829 55.467395 48.959164
2015-06-08 42.009998 43.921048 54.8855 48.329194
2015-06-09 41.630001 43.844214 55.23069 48.442023
2015-06-10 42.060001 44.766239 56.236678 48.883945
2015-06-11 40.939999 44.602961 56.424067 49.043787
2015-06-12 40.529999 44.151556 56.325442 48.742905
2015-06-15 40.470001 43.680937 55.871762 48.761711
2015-06-16 40.639999 44.017094 56.28599 49.448098
2015-06-17 40.959999 44.151556 55.763273 50.162691
2015-06-18 40.91 44.871888 55.980248 50.388354
2015-06-19 40.509998 44.276411 55.45753 50.096873
2015-06-22 40.73 44.401269 56.16764 50.247314
2015-06-23 40.650002 44.093928 56.601594 50.369549
2015-06-24 40.939999 43.834608 55.881623 49.927627
2015-06-25 41.07 43.844214 55.418078 50.04046
2015-06-26 40.060001 43.469639 55.566019 49.917252
2015-06-29 38.91 42.614845 54.126077 48.135511
2015-06-30 39.290001 42.40355 54.481132 48.495648
2015-07-01 39.330002 42.691682 54.915086 48.704151
2015-07-02 39.380001 42.643661 54.609344 48.694675
2015-07-06 38.610001 42.634054 54.32333 47.927007
2015-07-07 38.23 42.547614 53.751297 48.182897
2015-07-08 37.23 42.48999 52.07465 46.931885
2015-07-09 37.610001 42.758913 52.972148 47.633208
2015-07-10 37.919998 42.845353 53.810474 48.723106
2015-07-13 38.759998 43.738565 54.77701 49.225405
2015-07-14 38.630001 43.815399 55.141926 50.267916
2015-07-15 38.380001 43.94986 55.68437 49.377042
2015-07-16 38.91 44.81426 57.78511 49.500249
2015-07-17 39.68 44.775841 57.942911 48.495648
2015-07-20 39.540001 45.063974 58.041536 47.879621
2015-07-21 39.73 45.409734 58.288102 47.48157
2015-07-22 39.240002 43.738565 59.511069 47.386798
2015-07-23 39.209999 44.286017 59.047524 45.263868
2015-07-24 38.849998 44.12274 57.893599 43.567423
2015-07-27 37.84 43.556079 57.163763 43.245193
2015-07-28 37.720001 43.546476 57.568131 44.211884
2015-07-29 37.669998 44.458897 58.110574 44.951117
2015-07-30 37.419998 45.025559 58.120449 44.941638
2015-07-31 36.669998 44.852679 57.705865 44.600456
2015-08-03 36.689999 44.958328 57.686123 44.031812
2015-08-04 37.119999 45.659451 57.715739 44.249791
2015-08-05 37.25 45.697869 57.982256 44.666797
2015-08-06 36.459999 44.775841 57.350509 44.164495
2015-08-07 36.669998 44.891097 57.162961 43.121986
2015-08-10 37.150002 45.457759 57.982256 44.202405
2015-08-11 36.029999 44.574149 56.896444 42.922963
2015-08-12 34.490002 44.891097 56.175861 43.311534
2015-08-13 35.93 44.881491 56.590445 42.619688
2015-08-14 36.240002 45.140811 56.847089 42.553346
2015-08-17 36.099998 45.448152 57.024768 43.093555
2015-08-18 35.689999 45.699514 56.807605 42.411184
2015-08-19 35.189999 45.061442 56.2647 41.823589
2015-08-20 34.099998 44.143004 54.616245 41.387628
2015-08-21 32.93 41.639053 52.908559 40.392506
2015-08-24 31.309999 40.295234 49.690614 38.241145
2015-08-25 31.74 39.125436 49.236549 37.331319
2015-08-26 32.52 41.291013 51.605587 38.904561
2015-08-27 33.689999 42.441479 52.750623 41.321287
2015-08-28 33.139999 42.470481 52.592687 41.700382
2015-08-31 32.240002 42.074103 52.790108 41.472924
2015-09-01 31.6 40.430583 50.282873 39.48268
2015-09-02 31.77 41.919419 51.082425 40.174527
2015-09-03 32.540001 42.054767 51.12191 40.591533
2015-09-04 31.58 41.194337 49.937389 39.880731
2015-09-08 30.9 42.431809 50.983717 41.785679
2015-09-09 31.52 41.639053 50.223649 41.501359
2015-09-10 31.15 41.851745 50.411197 41.472924
2015-09-11 31.43 42.035431 50.440809 41.491879
2015-09-14 30.32 41.610051 50.322358 40.828467
2015-09-15 31.040001 42.518819 51.3292 41.330766
2015-09-16 31.4 42.828187 51.911589 42.629163
2015-09-17 30.93 42.779849 50.983717 41.908886
2015-09-18 30.74 42.035431 49.64126 41.046446
2015-09-21 31.17 42.644501 50.05584 41.719338
2015-09-22 30.4 42.441479 49.730099 41.321287
2015-09-23 29.74 42.412473 49.473451 40.354599
2015-09-24 29.34 42.451145 48.496224 40.269303
2015-09-25 29.129999 42.480147 49.897905 40.108186
2015-09-28 27.6 41.851745 48.397512 38.308582
2015-09-29 28.26 41.996759 48.3679 38.825491
2015-09-30 28.91 42.789515 48.970032 40.586805
2015-10-01 28.91 43.127889 49.246419 41.142
2015-10-02 30.709999 44.055993 49.236549 42.549138
2015-10-05 30.85 45.080778 50.500036 44.329597
2015-10-06 30.959999 45.19679 50.401328 45.066669
2015-10-07 31.870001 45.245128 50.657972 45.459136
2015-10-08 32.369999 45.873534 50.983717 45.746306
2015-10-09 32.52 45.54483 50.717199 45.066669
2015-10-12 32.860001 45.438484 50.618487 44.607193
2015-10-13 32.34 45.332138 50.54939 44.521042
2015-10-14 32.09 45.129116 50.065713 45.095385
2015-10-15 33.48 45.44815 52.286688 45.545287
2015-10-16 33.369999 45.931538 52.010298 45.583574
2015-10-19 33.5 46.037884 52.178107 45.36341
2015-10-20 32.830002 46.182902 52.158364 45.65058
2015-10-21 31.120001 45.63184 51.141653 45.449562
2015-10-22 31.67 46.434262 51.83262 47.785216
2015-10-23 33.169998 51.113459 52.948044 48.168112
2015-10-26 33.400002 52.447612 52.424882 48.292554
2015-10-27 34.299999 51.906216 51.931332 48.522288
2015-10-28 35.189999 52.186582 54.023983 49.173209
2015-10-29 35.049999 51.587181 53.016219 48.72331
2015-10-30 35.619999 50.891101 52.532096 49.460379
2015-11-02 35.27 51.471169 53.184182 49.383802
2015-11-03 34.720001 52.350936 53.510221 49.757123
2015-11-04 35.07 52.59263 53.184182 49.182783
2015-11-05 35.119999 52.573294 53.500342 49.402947
2015-11-06 34.200001 53.09535 55.199704 49.623111
2015-11-09 33.68 52.360602 55.041624 49.489098
2015-11-10 33.990002 51.732196 55.130544 49.498669
2015-11-11 33.380001 51.867547 54.241344 49.489098
2015-11-12 33.23 51.548509 52.818618 48.273408
2015-11-13 32.189999 51.084457 52.532096 48.953045
2015-11-16 32.950001 51.98356 53.045858 49.441237
2015-11-17 32.860001 51.555313 52.848261 49.441237
2015-11-18 32.98 52.411808 54.320382 50.886662
2015-11-19 32.630001 52.499404 54.399424 51.03982
2015-11-20 33.110001 52.742727 54.093142 51.03982
2015-11-23 33.360001 52.742727 53.62878 50.733504
2015-11-24 32.959999 52.801126 53.529981 51.097255
2015-11-25 33.16 52.256081 53.431182 49.699688
2015-11-27 32.939999 52.489673 53.55962 49.785839
2015-11-30 33.810001 52.898454 53.441061 49.90071
2015-12-01 33.709999 53.745221 54.221584 51.135542
2015-12-02 35.650002 53.735486 53.49046 50.053868
2015-12-03 34.34 52.752462 52.868017 49.642256
2015-12-04 34.91 54.416792 54.429063 51.030249
2015-12-07 34.68 54.319464 53.747343 49.804984
2015-12-08 34.849998 54.299998 52.749458 48.72331
2015-12-09 34.400002 53.511629 52.176419 54.533732
2015-12-10 34.630001 53.793885 52.018338 52.561825
2015-12-11 32.91 52.616202 50.496813 51.087681
2015-12-14 32.59 53.667356 50.486931 49.096632
2015-12-15 33.029999 53.725755 51.889897 48.407421
2015-12-16 33.779999 54.630917 53.253342 48.551008
2015-12-17 33.23 54.212401 52.206057 48.101106
2015-12-18 32.950001 52.684332 50.595612 47.50762
2015-12-21 32.970001 53.365638 51.168655 48.790317
2015-12-22 34.189999 53.871747 51.386013 49.297651
2015-12-23 34.450001 54.329195 51.998578 50.283602
2015-12-24 34.110001 54.1832 52.077616 50.073013
2015-12-28 33.599998 54.455724 51.751577 49.996432
2015-12-29 34.040001 55.039699 52.344377 50.981489
2015-12-30 33.369999 54.80611 51.672535 49.8902
2015-12-31 33.259998 53.998276 51.129134 49.716367
2016-01-04 31.4 53.336436 50.516574 48.219468
2016-01-05 32.200001 53.57976 50.249813 47.852485
2016-01-06 32.16 52.606467 49.518689 46.799827
2016-01-07 30.16 50.776676 46.989405 45.042178
2016-01-08 30.629999 50.932406 45.576561 44.694511
2016-01-11 30.17 50.903205 46.28792 43.844661
2016-01-12 30.690001 51.370385 46.317563 43.255558
2016-01-13 29.440001 50.260832 44.647836 42.135298
2016-01-14 30.32 51.691573 44.835559 42.724401
2016-01-15 29.139999 49.628194 41.960472 41.488249
2016-01-19 29.74 49.209678 41.436828 40.62874
2016-01-20 28.780001 49.433535 40.004227 39.904434
2016-01-21 29.309999 49.131812 39.668306 40.561139
2016-01-22 29.75 50.893473 40.567388 41.739344
2016-01-25 29.780001 50.406827 39.075502 40.734972
2016-01-26 29.98 50.776676 40.014105 41.005379
2016-01-27 29.690001 49.852051 40.073387 39.991351
2016-01-28 28.75 50.669617 39.954678 40.126554
2016-01-29 29.51 53.618692 42.121077 40.561139
2016-02-01 29.57 53.24884 42.022152 41.12127
2016-02-02 29.059999 51.58451 39.984353 43.487334
2016-02-03 27.68 50.766944 39.925003 45.138754
2016-02-04 29.15 50.611218 40.350368 45.766484
2016-02-05 27.969999 48.820359 39.430392 45.090464
2016-02-08 27.049999 48.09039 37.402487 44.646224
2016-02-09 26.82 47.963861 37.105717 45.003548
2016-02-10 27.1 48.382377 37.006797 44.578623
2016-02-11 26.76 48.36291 34.602987 43.265214
2016-02-12 27.040001 49.151279 37.135397 44.43376
2016-02-16 29.280001 50.082544 38.470845 45.225671
2016-02-17 29.370001 51.386315 39.351252 46.345931
2016-02-18 29.42 51.160851 38.50052 45.940318
2016-02-19 30.040001 50.798149 38.569769 45.467107
2016-02-22 31.17 51.611783 39.094056 46.249355
2016-02-23 30.67 50.170769 37.808068 45.37053
2016-02-24 30.950001 50.34722 37.679468 45.573335
2016-02-25 31.360001 51.072626 38.203755 46.45216
2016-02-26 31.370001 50.288402 39.074271 47.070237
2016-02-29 31.790001 49.876686 38.431275 46.94469
2016-03-01 32.799999 51.543164 40.825194 48.354671
2016-03-02 32.91 51.905867 41.764956 47.920087
2016-03-03 32.880001 51.317696 42.368382 47.900772
2016-03-04 33.860001 51.004007 42.368382 48.567136
2016-03-07 33.959999 50.023726 42.150752 48.05529
2016-03-08 32.93 50.631503 40.607564 47.157154
2016-03-09 33.509998 51.798035 40.706489 47.379274
2016-03-10 32.82 51.023613 40.924115 47.446876
2016-03-11 33.810001 52.023499 42.526658 48.885828
2016-03-14 33.580002 52.121526 42.210103 48.557476
2016-03-15 33.259998 52.533246 42.130967 48.470559
2016-03-16 34.009998 53.278258 41.774847 48.924459
2016-03-17 34.279999 53.582146 42.388163 49.639109
2016-03-18 35.169998 52.435219 43.070729 49.8902
2016-03-21 35.470001 52.797922 43.13008 49.774312
2016-03-22 35.41 53.00378 42.912454 49.494247
2016-03-23 34.799999 52.905754 41.913337 49.426645
2016-03-24 34.860001 53.141019 41.487971 49.561848
2016-03-28 35.23 52.484233 41.468187 49.793628
2016-03-29 36.32 53.631159 41.270345 49.813115
2016-03-30 36.560001 53.964455 41.42862 50.163912
2016-03-31 36.810001 54.140906 41.300021 49.559763
2016-04-01 36.48 54.474201 42.012262 49.832604
2016-04-04 37.02 54.336963 41.606681 49.764394
2016-04-05 36.41 53.484119 41.062606 49.442832
2016-04-06 36.66 54.033074 41.408836 49.627973
2016-04-07 36.169998 53.386089 39.835972 49.150499
2016-04-08 36.07 53.346877 40.033818 49.472064
2016-04-11 36.48 53.239049 40.67681 49.462318
2016-04-12 36.66 53.572345 41.448405 50.300332
2016-04-13 37.310001 54.258538 43.773076 50.875249
2016-04-14 37.169998 54.268343 44.495207 51.021416
2016-04-15 36.509998 54.552626 44.435853 51.031158
2016-04-18 36.52 55.346651 44.623807 51.196814
2016-04-19 36.330002 55.278031 45.138203 51.693775
