"Index","old.portfolio.value","new.portfolio.value","old.portfolio.rtn","new.portfolio.rtn"
2010-01-05,0.00320799793103399,-0.000636645871243902,0.00320799793103399,-0.000636645871243902
2010-01-06,-0.00535146032815925,-0.0071449783568539,-0.00855945825919324,-0.00650833248561
2010-01-07,-0.0187045964070869,-0.017781951326128,-0.0133531360789276,-0.0106369729692741
2010-01-08,-0.0142048678704458,-0.0190776643150981,0.00449972853664112,-0.00129571298897002
2010-01-11,-0.0206282624311847,-0.0188690183328822,-0.00642339456073889,0.000208645982215816
2010-01-12,-0.0278482708204836,-0.0215884515892619,-0.00722000838929896,-0.00271943325637969
2010-01-13,-0.0157220079130869,-0.0118353508856014,0.0121262629073967,0.00975310070366053
2010-01-14,-0.00671372868155729,-0.00464114554439476,0.00900827923152958,0.00719420534120663
2010-01-15,-0.0193027950423551,-0.017786073437085,-0.0125890663607978,-0.0131449278926903
2010-01-19,-0.00368136532949596,-0.00549330303583151,0.0156214297128591,0.0122927704012535
2010-01-20,-0.0218093770634304,-0.0231994825138362,-0.0181280117339345,-0.0177061794780047
2010-01-21,-0.0376858953072716,-0.040249489963696,-0.0158765182438412,-0.0170500074498598
2010-01-22,-0.073164876027591,-0.0674571938387186,-0.0354789807203194,-0.0272077038750226
2010-01-25,-0.06061778683902,-0.0575403909569283,0.012547089188571,0.00991680288179031
2010-01-26,-0.0511785199372625,-0.0514287700261696,0.00943926690175756,0.00611162093075868
2010-01-27,-0.0463462688968221,-0.0461018735497039,0.00483225104044038,0.00532689647646578
2010-01-28,-0.0776512533957455,-0.0710986760904178,-0.0313049844989234,-0.0249968025407139
2010-01-29,-0.110779058312115,-0.0956217418795584,-0.0331278049163698,-0.0245230657891407
2010-02-01,-0.102580347262702,-0.0888743504460733,0.00819871104941372,0.00674739143348513
2010-02-02,-0.0974182556810893,-0.081941429147223,0.00516209158161226,0.00693292129885026
2010-02-03,-0.0834343779716889,-0.0722723026870633,0.0139838777094003,0.00966912646015972
2010-02-04,-0.114842646841421,-0.102477092288973,-0.0314082688697324,-0.0302047896019092
